text,scraped_at
@RahulGandhi And you showcases Chinese drone to explain congress stand on manufacturing!!!,2026-02-18 12:05:23
"Breaking news! 🎬

#KichchaSudeep is reuniting with #SSRajamouli for #MaheshBabu's #Varanasi! 🤝

Sudeep will be cast in #VaranasiMovie, bringing back the magic after his roles in #Eega and #Baahubali. Excitement is in the air! 🌟 #Cinema #FilmBuzz 

Follow us @Cine_Trak_ https://t.co/cZnvqb9EV1",2026-02-18 12:05:23
"@Amockx2022 Your inside source seems to inside. By pasting all this bs u think people would vote for congress? Keep dreaming.
Common man appreciates hard work and effort put by Modi and his team, most Indians are optimistic not pessimistic like you. If u continue like this 2029 is gone too",2026-02-18 12:05:23
"@HenryFrank02 A. Yes I support this, however I doubt anything happens. This shitty Congress has a big bark which is followed by zero bite!",2026-02-18 12:05:23
"President Trump extends warm Ramadan greetings to Muslims worldwide

In a Feb 17 White House statement, he honors the sacred month of prayer, fasting, and renewal—reaffirming religious freedom as a cornerstone of American strength and prosperity.
https://t.co/ovSFjiIxHD https://t.co/meVObGRpgn",2026-02-18 12:05:23
"Nasty neighbors: Trump cabinet’s scorched-earth combat with Congress falls into ‘gutter’

https://t.co/y7bQe88FPn https://t.co/Mn5lSDbnWg",2026-02-18 12:05:23
"They  ✈️ R spraying under cover of the night too. How many 1,00O's of ✈️✈️ globally to spray all over the 🌎 like this?  How many pilots, who is 💰 them to poison ☠️ us? Who has investments in chemicals in our GOV'T? Are we taxpayers funding our own demise☠️? Where is Congress? https://t.co/1cbeNo53eq",2026-02-18 12:05:23
@highbrow_nobrow I live in NY and Non-citizens have voted. I am working on Legislation that would make Lying to the America people by Members of Congress a Jailable offence. Are you OK with that?,2026-02-18 12:05:23
"@TimRunsHisMouth Plan needs to be removed from Congress, stripped of her citizenship, take her money and send her home.",2026-02-18 12:05:23
@Brahmin_Sabha @milindmghosh And so it's expected from you to bring back same congress 🤣,2026-02-18 12:05:23
